iter	Logloss
0	0.6614399572
1	0.635989754
2	0.6118466876
3	0.5909434854
4	0.5734973538
5	0.5550456779
6	0.5397997653
7	0.5276736549
8	0.5146662361
9	0.5024571573
10	0.4918798434
11	0.4821535566
12	0.4745095136
13	0.4672940949
14	0.4607747921
15	0.4542759655
16	0.4481911542
17	0.4427722562
18	0.4374076203
19	0.4334638042
20	0.4285283439
21	0.4255158849
22	0.4217864006
23	0.4190087891
24	0.4172900391
25	0.41447305
26	0.4120359753
27	0.410275997
28	0.4081717411
29	0.4063563587
30	0.4047223885
31	0.4029685531
32	0.4015968372
33	0.3994064233
34	0.3979285062
35	0.3966073116
36	0.3957009199
37	0.3945725964
38	0.3928338032
39	0.3917122527
40	0.3906587859
41	0.3896448935
42	0.3885194052
43	0.3874035251
44	0.3864126292
45	0.385930924
46	0.3852349657
47	0.3843786621
48	0.3835589403
49	0.3825982075
50	0.3815789598
51	0.3808922159
52	0.3803206905
53	0.3793876008
54	0.3788470656
55	0.3780990502
56	0.3773177608
57	0.3764922505
58	0.3756470514
59	0.3751647949
60	0.374183074
61	0.3735961914
62	0.3727442588
63	0.3719200479
64	0.3715195391
65	0.3706130686
66	0.3693962639
67	0.3688738029
68	0.3687961505
69	0.3683268492
70	0.3679300419
71	0.3672136861
72	0.3668314091
73	0.3660272414
74	0.3656867833
75	0.3650863155
76	0.364207803
77	0.3639937468
78	0.3635783534
79	0.3629672537
80	0.3625212639
81	0.3620080173
82	0.3612951266
83	0.3607230106
84	0.3603159652
85	0.360027643
86	0.3596935248
87	0.3591752772
88	0.3584971176
89	0.3581173214
90	0.3577879284
91	0.3575202794
92	0.3572393996
93	0.3568901603
94	0.3566408219
95	0.3561462796
96	0.3559242692
97	0.3553462072
98	0.3551665275
99	0.3547600334
100	0.3546284337
101	0.3543230217
102	0.3540000473
103	0.3535674064
104	0.3531117692
105	0.3520651934
106	0.351651572
107	0.3511406486
108	0.3508868211
109	0.3507772335
110	0.3504054309
111	0.3499278604
112	0.3497380607
113	0.3493686602
114	0.3489327117
115	0.348677821
116	0.3485012128
117	0.3481430743
118	0.3477934413
119	0.3477389428
120	0.3471811996
121	0.346997661
122	0.3467283975
123	0.3461570297
124	0.3457450227
125	0.345661503
126	0.3455230516
127	0.3453922789
128	0.3449288448
129	0.34484312
130	0.3443348743
131	0.3441388924
132	0.3435605154
133	0.3431977303
134	0.3428744802
135	0.3424119519
136	0.3423557995
137	0.3420756678
138	0.3413828598
139	0.3408895382
140	0.3406090915
141	0.3405146642
142	0.3400547348
143	0.3398212261
144	0.339519673
145	0.3388804183
146	0.3383285818
147	0.3380339592
148	0.3379453598
149	0.3375016932
150	0.3371969506
151	0.3368809854
152	0.3364770508
153	0.3363679751
154	0.3363177687
155	0.3361826251
156	0.3360335418
157	0.3357447864
158	0.335679026
159	0.3348047663
160	0.3344557239
161	0.3342596239
162	0.333765436
163	0.3333173198
164	0.3330174994
165	0.3329727271
166	0.332699329
167	0.3318630292
168	0.3317568674
169	0.3309662456
170	0.3306109422
171	0.3305189957
172	0.3301796796
173	0.3297742487
174	0.3297543433
175	0.3296707842
176	0.3290041622
177	0.3285939075
178	0.3280657762
179	0.3280045048
180	0.3279492187
181	0.3278081094
182	0.3271782069
183	0.3264422804
184	0.3259258639
185	0.3258085977
186	0.3255678632
187	0.3248573156
188	0.32480516
189	0.3241545843
190	0.3230624291
191	0.3226182901
192	0.3222682633
193	0.3218095546
194	0.3217686019
195	0.3214402328
196	0.3205863116
197	0.3200427246
198	0.3195502497
199	0.3191434208
200	0.3187380686
201	0.3177011404
202	0.3176561712
203	0.3176035432
204	0.3173266995
205	0.3171240825
206	0.3170677923
207	0.3166854957
208	0.3161323597
209	0.3154468167
210	0.3147563319
211	0.3142135719
212	0.3139223948
213	0.3135981406
214	0.3133029864
215	0.312991963
216	0.3126924379
217	0.3123090387
218	0.3119647217
219	0.3116448778
220	0.3116045158
221	0.3112263735
222	0.310729823
223	0.309522902
224	0.3090154045
225	0.3087824274
226	0.308541496
227	0.3081335449
228	0.3077703267
229	0.3074148264
230	0.307380312
231	0.3066736037
232	0.3062140483
233	0.3056034999
234	0.3049990549
235	0.3047842703
236	0.304445407
237	0.3038320824
238	0.3032763672
239	0.3025564871
240	0.3023944289
241	0.3013808909
242	0.3011412393
243	0.3009177719
244	0.3008815052
245	0.3008376386
246	0.3002656014
247	0.2996741904
248	0.2992261924
249	0.2988780163
250	0.2988368274
251	0.2979377205
252	0.2975167748
253	0.2966630702
254	0.296436295
255	0.2957476807
256	0.2954102744
257	0.2952937957
258	0.2948587528
259	0.2940600586
260	0.2937512995
261	0.2937202306
262	0.2928582173
263	0.2928230138
264	0.2923318974
265	0.2918068572
266	0.291456417
267	0.2913428325
268	0.2909833551
269	0.2909577007
270	0.2904255725
271	0.2900268555
272	0.2897937996
273	0.2893364888
274	0.289303963
275	0.2890480681
276	0.2887275154
277	0.2884142673
278	0.2875792669
279	0.2870951794
280	0.2866304656
281	0.2862882749
282	0.2859391145
283	0.2854155116
284	0.2850802514
285	0.2842177262
286	0.28410172
287	0.2833964292
288	0.2825210276
289	0.282359501
290	0.2817875032
291	0.2813396823
292	0.2813100901
293	0.2807164543
294	0.2804453007
295	0.2803001355
296	0.279935854
297	0.2796943911
298	0.2793010096
299	0.2788119015
